file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-08-22-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-08-22,162.42,58.25,3708.6,226.0,116.0,20,12,6.69,1.061,63.7,0.0313,10.0,97445,,,1
2020-08-29-TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05.parquet,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-08-29,52.84,26.48,1491.3,4.7,0.0,19,21,5.01,0.939,56.3,0.0,10.0,31693,,,1
2020-08-26-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-08-26,154.35,56.0,3901.4,511.8,392.2,27,27,7.14,1.161,69.7,0.1005,10.0,92601,,,1
2020-08-30-TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592.parquet,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-08-30,120.52,100.81,12627.7,2539.4,1181.9,62,117,7.68,2.088,125.3,0.0936,10.0,72296,,,1
2020-08-31-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-08-31,69.85,46.74,4347.5,175.9,46.5,50,59,6.36,1.55,93.0,0.0107,10.0,41896,,,1
2020-09-02-TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613.parquet,TeamA-23a7711a-8133-2876-37eb-dcd9e87a1613,2020-09-02,94.89,62.72,5610.0,383.1,144.3,32,71,7.28,1.491,89.4,0.0257,10.0,56927,,,1
2020-09-03-TeamA-12e0c8b2-bad6-40fb-1948-8dec4f65d4d9.parquet,TeamA-12e0c8b2-bad6-40fb-1948-8dec4f65d4d9,2020-09-03,99.1,59.44,4238.7,500.3,270.6,39,55,7.13,1.189,71.3,0.0639,10.0,59455,,,1
2020-09-04-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-09-04,61.42,34.44,2195.9,112.6,25.2,20,28,6.5,1.063,63.8,0.0115,10.0,36845,,,1
2020-09-05-TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93.parquet,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-09-05,185.47,6.83,417.1,0.0,0.0,0,0,1.89,1.017,61.0,0.0,10.0,111273,,too_short,0
2020-09-07-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-09-07,67.92,51.01,4612.1,123.9,33.4,46,65,6.64,1.507,90.4,0.0072,10.0,40737,,,1
2020-09-08-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-09-08,86.68,72.45,4873.2,225.6,65.3,38,84,6.35,1.121,67.3,0.0134,10.0,52002,,,1
2020-09-09-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-09-09,95.41,65.29,6832.8,489.5,148.7,37,70,6.52,1.744,104.6,0.0218,10.0,57236,,,1
2020-09-11-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-09-11,66.97,50.3,3692.5,328.5,125.2,23,38,7.28,1.223,73.4,0.0339,10.0,40175,,,1
